資料名稱,字頭,轉號,韻圖開合(修正後),韻圖母位置,韻圖聲,韻圖韻,韻圖等
指微韻鑑（嘉吉本）,籠,1,,舌齒音第一位,平,東,一
韻鏡（古逸叢書本）,籠,1,,舌齒音第一位,平,東,一
韻鏡（古逸叢書本）,洪,1,,喉音第三位,平,東,一
韻鏡（古逸叢書本）,烘,1,,喉音第二位,平,東,一
韻鏡（古逸叢書本）,翁,1,,喉音第一位,平,東,一
韻鏡（古逸叢書本）,𣞷,1,,齒音第四位,平,東,一
韻鏡（古逸叢書本）,叢,1,,齒音第三位,平,東,一
韻鏡（古逸叢書本）,悤,1,,齒音第二位,平,東,一
韻鏡（古逸叢書本）,葼,1,,齒音第一位,平,東,一
韻鏡（古逸叢書本）,㟅,1,,牙音第四位,平,東,一
韻鏡（古逸叢書本）,空,1,,牙音第二位,平,東,一
韻鏡（古逸叢書本）,公,1,,牙音第一位,平,東,一
韻鏡（古逸叢書本）,同,1,,舌音第三位,平,東,一
韻鏡（古逸叢書本）,通,1,,舌音第二位,平,東,一
韻鏡（古逸叢書本）,東,1,,舌音第一位,平,東,一
韻鏡（古逸叢書本）,蒙,1,,脣音第四位,平,東,一
韻鏡（古逸叢書本）,蓬,1,,脣音第三位,平,東,一
韻鏡（古逸叢書本）,崇,1,,齒音第三位,平,東,二
韻鏡（古逸叢書本）,戎,1,,舌齒音第二位,平,東,三
韻鏡（古逸叢書本）,隆,1,,舌齒音第一位,平,東,三
韻鏡（古逸叢書本）,肜,1,,喉音第四位,平,東,三
韻鏡（古逸叢書本）,雄,1,,喉音第三位,平,東,三
韻鏡（古逸叢書本）,充,1,,齒音第二位,平,東,三
韻鏡（古逸叢書本）,終,1,,齒音第一位,平,東,三
韻鏡（古逸叢書本）,𧲤,1,,牙音第四位,平,東,三
韻鏡（古逸叢書本）,窮,1,,牙音第三位,平,東,三
韻鏡（古逸叢書本）,穹,1,,牙音第二位,平,東,三
韻鏡（古逸叢書本）,弓,1,,牙音第一位,平,東,三
韻鏡（古逸叢書本）,蟲,1,,舌音第三位,平,東,三
韻鏡（古逸叢書本）,忡,1,,舌音第二位,平,東,三
韻鏡（古逸叢書本）,中,1,,舌音第一位,平,東,三
韻鏡（古逸叢書本）,瞢,1,,脣音第四位,平,東,三
韻鏡（古逸叢書本）,馮,1,,脣音第三位,平,東,三
韻鏡（古逸叢書本）,豐,1,,脣音第二位,平,東,三
韻鏡（古逸叢書本）,風,1,,脣音第一位,平,東,三
韻鏡（古逸叢書本）,融,1,,喉音第四位,平,東,四
韻鏡（古逸叢書本）,嵩,1,,齒音第四位,平,東,四
韻鏡（古逸叢書本）,䏊,1,,舌齒音第一位,上,董,一
韻鏡（古逸叢書本）,𢦅,1,,喉音第三位,上,董,一
韻鏡（古逸叢書本）,嗊,1,,喉音第二位,上,董,一
韻鏡（古逸叢書本）,蓊,1,,喉音第一位,上,董,一
韻鏡（古逸叢書本）,㪌,1,,齒音第四位,上,董,一
韻鏡（古逸叢書本）,總,1,,齒音第一位,上,董,一
韻鏡（古逸叢書本）,孔,1,,牙音第二位,上,董,一
韻鏡（古逸叢書本）,𨑊,1,,舌音第四位,上,董,一
韻鏡（古逸叢書本）,動,1,,舌音第三位,上,董,一
韻鏡（古逸叢書本）,桶,1,,舌音第二位,上,董,一
韻鏡（古逸叢書本）,董,1,,舌音第一位,上,董,一
