原書小韻號,小韻字號,原字頭,校正字頭,原釋義,校正釋義,原釋義參照,校正釋義參照,當刪說明,備注
11,2,,融,,上同,,上,,左下為「𢆉」形，poem表因未入U而缺
177,6,,𢊿,,上同,,上,,poem表作「⿸广⿳𥫗⺫攵」，因未入U而缺
213,12,婔,[婔/-],,,,,當入霏紐,周祖謨校
231,13,㶛,[㶛/-],,,,,本紐重出當刪,周祖謨校
318,1,攜,～,提也離也又姓出何氏姓苑戶圭切二十四三,提也離也又姓出何氏姓苑{戶圭}切二十[四/三],,,,poem表釋義誤錄
511,3,𩁚,𩁢,,,,,,poem表兩字形顛倒
511,4,𩁢,𩁚,,,,,,poem表兩字形顛倒
949,9,䔖,～,,,,上,,poem表遺漏釋義補充
961,1a1,,嬹,,女字,,,,周祖謨補
1380,2,皷,[皷/鼓],說文曰郭也春分之音萬物郭皮甲而出故謂之皷周禮六皷靁皷靈皷路皷鼖皷鼛皷晉皷亦作鼔,說文曰郭也春分之音萬物郭皮甲而出故謂之鼓周禮六鼓靁鼓靈鼓路鼓鼖鼓鼛鼓晉鼓亦作𡔷,,,,周祖謨校；poem表此二字認同有誤
1380,3,鼓,鼔,說文曰擊皷也,說文曰擊鼓也,,,,poem表此二字認同有誤
1619,2,𤣗,～,𤣗,,,下,,poem表釋義誤錄
1883,2,,⿱𱡘正,,俗,,上,,poem表因未入U而缺
1929,11,𦱙,[𦱙/莥],蔨實亦作𦶆,蔨實亦作[莥/𦱙],,,,周祖謨校
2046,17,𣄉,[𣄉/𣃳],掩光又於葉切,[掩光/掩也]又於葉切,,,,周祖謨校
2988,1,盛,～,多也長也又姓後漢西羌傳有北海太守盛苞其先姓奭避元帝諱改姓盛承正切又音成三,多也長也又姓後漢西羌傳有北[海/地]太守盛苞其先姓奭避元帝諱改姓盛{承正}切又音成三,,,,周祖謨校
3113,1,馾,～,冠幘一曰馬步近前丁紺切三,[冠幘一曰馬步近前/馬睡皃]{丁紺}切[三/四],,,,周祖謨校
3113,1a1,,帎,,冠幘近前,,,,周祖謨補
3276,15,,⿰隺犬,,至也高也,,,,poem表因未入U而缺
3291,7,,⿱芖雨,,俗,,上,,poem表作「⿱共雨」，因未入U而缺
3292,2,鷝,鵯,,,,,,poem表誤校；此實為偽字，保持原樣即可
3389,4,紇,～,絲下也又孔子父名又虜複姓三氏北齊開府紇奚永樂又有紇干氏紇骨氏又虜三字姓後魏有賊師紇豆陵伊利又胡結切,絲下也又孔子父名又虜複姓三氏北齊開府紇奚永樂又有紇[干/于]氏紇骨氏又虜三字姓後魏有賊師紇豆陵伊利又胡結切,,,,周祖謨校；poem表承「宋本廣韻データ」誤錄
3390,1,搰,～,掘地也戶骨切于十,掘地也{戶骨}切[十一/十],,,,周祖謨校；poem表承「宋本廣韻データ」誤錄
3390,4,𦗣,～,耳黧,耳聲,,,,周祖謨校
3390,5,𦖼,[𦖼/-],,,,,,周祖謨校
3829,5,𣄉,[𣄉/𣃳],掩光名掩也,[掩光名/掩也],,,,周祖謨校
3829,6,厭,～,厭伏亦惡夢又於琰切六,厭伏亦惡夢又於琰切[六/-],,,,周祖謨校；poem表誤錄
3830,6,貼,～,以物之質錢,以物[之/-]質錢,,,,周祖謨校；poem表誤錄
