小韻號	首字	反切	編碼	切韻拼音	unt切韻擬音J	unt切韻擬音L	unt切韻通俗擬音	潘悟雲擬音	描述	聲母	開合	等和重紐	韻母	聲調	合法性	備註
1	東	德紅	EAA	toung	tuɴ	tuɴ	tuŋ	tuŋ˧	端一東平	端		一	東	平	強合法	
2	同	徒紅	GAA	doung	duɴ	duɴ	duŋ	duŋ˧	定一東平	定		一	東	平	強合法	
3	中	陟弓	JBA	trung	ʈuɴ	ʈuɴ	ʈɨuŋ	ʈɨuŋ˧	知三東平	知		三	東	平	強合法	
4	蟲	直弓	LBA	drung	ɖuɴ	ɖuɴ	ɖɨuŋ	ɖɨuŋ˧	澄三東平	澄		三	東	平	強合法	
5	終	職戎	XBA	tjung	tɕuɴ	tɕuɴ	tɕɨuŋ	tɕɨuŋ˧	章三東平	章		三	東	平	強合法	
6	忡	敕中	KBA	trhung	ʈʰuɴ	ʈʰuɴ	ʈʰɨuŋ	ʈʰɨuŋ˧	徹三東平	徹		三	東	平	強合法	
7	崇	鋤弓	UBA	dzrung	dʐuɴ	dʐuɴ	dʐɨuŋ	dʐɨuŋ˧	崇三東平	崇		三	東	平	強合法	
8	嵩	息弓	QBA	sung	sjuɴ	sjuɴ	sɨuŋ	sɨuŋ˧	心三東平	心		三	東	平	強合法	
9	戎	如融	cBA	njung	ɲuɴ	ɲuɴ	ɲɨuŋ	ȵɨuŋ˧	日三東平	日		三	東	平	強合法	
10	弓	居戎	dBA	kung	kɣuɴ	kuɴ	kɨuŋ	kɨuŋ˧	見三東平	見		三	東	平	強合法	
11	融	以戎	lBA	jung	juɴ	juɴ	jɨuŋ	jɨuŋ˧	以三東平	以		三	東	平	強合法	
12	雄	羽弓	kBA	ung	wuɴ	wuɴ	ɨuŋ	ɦɨuŋ˧	云三東平	云		三	東	平	強合法	
13	瞢	莫中	DBA	mung	mʋuɴ	muɴ	mɨuŋ	mɨuŋ˧	明三東平	明		三	東	平	強合法	
14	穹	去宮	eBA	khung	kʰɣuɴ	kʰuɴ	kʰɨuŋ	kʰɨuŋ˧	溪三東平	溪		三	東	平	強合法	
15	窮	渠弓	fBA	gung	ɡɣuɴ	ɡuɴ	ɡɨuŋ	ɡɨuŋ˧	羣三東平	羣		三	東	平	強合法	
16	馮	房戎	CBA	bung	bʋuɴ	buɴ	bɨuŋ	bɨuŋ˧	並三東平	並		三	東	平	強合法	
17	風	方戎	ABA	pung	pʋuɴ	puɴ	pɨuŋ	pɨuŋ˧	幫三東平	幫		三	東	平	強合法	
18	豐	敷空	BBA	phung	pʰʋuɴ	pʰuɴ	pʰɨuŋ	pʰɨuŋ˧	滂三東平	滂		三	東	平	強合法	
19	充	昌終	YBA	tjhung	tɕʰuɴ	tɕʰuɴ	tɕʰɨuŋ	tɕʰɨuŋ˧	昌三東平	昌		三	東	平	強合法	
20	隆	力中	IBA	lung	luɴ	luɴ	lɨuŋ	lɨuŋ˧	來三東平	來		三	東	平	強合法	
21	空	苦紅	eAA	khoung	qʰuɴ	qʰuɴ	kʰuŋ	kʰuŋ˧	溪一東平	溪		一	東	平	強合法	
22	公	古紅	dAA	koung	quɴ	quɴ	kuŋ	kuŋ˧	見一東平	見		一	東	平	強合法	
23	蒙	莫紅	DAA	moung	muɴ	ᵯuɴ	muŋ	muŋ˧	明一東平	明		一	東	平	強合法	
24	籠	盧紅	IAA	loung	ɫuɴ	ɫuɴ	luŋ	luŋ˧	來一東平	來		一	東	平	強合法	
25	洪	戶公	jAA	ghoung	ʁuɴ	ʁuɴ	ɣuŋ	ɦuŋ˧	匣一東平	匣		一	東	平	強合法	
26	叢	徂紅	PAA	dzoung	dzuɴ	dzuɴ	dzuŋ	dzuŋ˧	從一東平	從		一	東	平	強合法	
27	翁	烏紅	hAA	qoung	ʔuɴ	ʡuɴ	ʔuŋ	ʔuŋ˧	影一東平	影		一	東	平	強合法	
28	悤	倉紅	OAA	tshoung	tsʰuɴ	tsʰuɴ	tsʰuŋ	tsʰuŋ˧	清一東平	清		一	東	平	強合法	
29	通	他紅	FAA	thoung	tʰuɴ	tʰuɴ	tʰuŋ	tʰuŋ˧	透一東平	透		一	東	平	強合法	
30	葼	子紅	NAA	tsoung	tsuɴ	tsuɴ	tsuŋ	tsuŋ˧	精一東平	精		一	東	平	強合法	
31	蓬	薄紅	CAA	boung	buɴ	ᵬuɴ	buŋ	buŋ˧	並一東平	並		一	東	平	強合法	
32	烘	呼東	iAA	houng	χuɴ	χuɴ	xuŋ	huŋ˧	曉一東平	曉		一	東	平	強合法	
33	㟅	五東	gAA	ngoung	ɴuɴ	ɴuɴ	ŋuŋ	ŋuŋ˧	疑一東平	疑		一	東	平	強合法	
34	𣞷	蘇公	QAA	soung	suɴ	suɴ	suŋ	suŋ˧	心一東平	心		一	東	平	強合法	
35	冬	都宗	ECA	tong	toɴ	toɴ	toŋ	tu̯oŋ˧	端一冬平	端		一	冬	平	強合法	
36	彤	徒冬	GCA	dong	doɴ	doɴ	doŋ	du̯oŋ˧	定一冬平	定		一	冬	平	強合法	
37	賨	藏宗	PCA	dzong	dzoɴ	dzoɴ	dzoŋ	dzu̯oŋ˧	從一冬平	從		一	冬	平	強合法	
38	農	奴冬	HCA	nong	noɴ	noɴ	noŋ	nu̯oŋ˧	泥一冬平	泥		一	冬	平	強合法	
39	攻	古冬	dCA	kong	qoɴ	qoɴ	koŋ	ku̯oŋ˧	見一冬平	見		一	冬	平	弱合法	
40	䃔	戶冬	jCA	ghong	ʁoɴ	ʁoɴ	ɣoŋ	ɦu̯oŋ˧	匣一冬平	匣		一	冬	平	弱合法	
41	䃧	力冬	ICA	long	ɫoɴ	ɫoɴ	loŋ	lu̯oŋ˧	來一冬平	來		一	冬	平	強合法	
42	宗	作冬	NCA	tsong	tsoɴ	tsoɴ	tsoŋ	tsu̯oŋ˧	精一冬平	精		一	冬	平	強合法	
43	鬆	私宗	QCA	song	soɴ	soɴ	soŋ	su̯oŋ˧	心一冬平	心		一	冬	平	強合法	
44	炵	他冬	FCA	thong	tʰoɴ	tʰoɴ	tʰoŋ	tʰu̯oŋ˧	透一冬平	透		一	冬	平	強合法	
45	鍾	職容	XDA	tjuong	tɕoɴ	tɕoɴ	tɕʉoŋ	tɕɨu̯o̝ŋ˧	章三鍾平	章		三	鍾	平	強合法	
46	龍	力鍾	IDA	luong	loɴ	loɴ	lʉoŋ	lɨu̯o̝ŋ˧	來三鍾平	來		三	鍾	平	強合法	
47	舂	書容	aDA	sjuong	ɕoɴ	ɕoɴ	ɕʉoŋ	ɕɨu̯o̝ŋ˧	書三鍾平	書		三	鍾	平	強合法	
48	松	祥容	RDA	zuong	zjoɴ	zjoɴ	zʉoŋ	zɨu̯o̝ŋ˧	邪三鍾平	邪		三	鍾	平	強合法	
49	𧘂	尺容	YDA	tjhuong	tɕʰoɴ	tɕʰoɴ	tɕʰʉoŋ	tɕʰɨu̯o̝ŋ˧	昌三鍾平	昌		三	鍾	平	強合法	
50	容	餘封	lDA	juong	joɴ	joɴ	jʉoŋ	jɨu̯o̝ŋ˧	以三鍾平	以		三	鍾	平	強合法	
51	封	府容	ADA	puong	pʋoɴ	poɴ	pʉoŋ	pɨu̯o̝ŋ˧	幫三鍾平	幫		三	鍾	平	強合法	
52	胷	許容	iDA	huong	xɣoɴ	xoɴ	xʉoŋ	hɨu̯o̝ŋ˧	曉三鍾平	曉		三	鍾	平	強合法	
53	顒	魚容	gDA	nguong	ŋɣoɴ	ŋoɴ	ŋʉoŋ	ŋɨu̯o̝ŋ˧	疑三鍾平	疑		三	鍾	平	強合法	
54	邕	於容	hDA	quong	ʔɣoɴ	ʔoɴ	ʔʉoŋ	ʔɨu̯o̝ŋ˧	影三鍾平	影		三	鍾	平	強合法	
55	醲	女容	MDA	nruong	ɳoɴ	ɳoɴ	ɳʉoŋ	ɳɨu̯o̝ŋ˧	孃三鍾平	孃		三	鍾	平	強合法	
56	重	直容	LDA	druong	ɖoɴ	ɖoɴ	ɖʉoŋ	ɖɨu̯o̝ŋ˧	澄三鍾平	澄		三	鍾	平	強合法	
57	從	疾容	PDA	dzuong	dzjoɴ	dzjoɴ	dzʉoŋ	dzɨu̯o̝ŋ˧	從三鍾平	從		三	鍾	平	強合法	
58	蹱	丑凶	KDA	trhuong	ʈʰoɴ	ʈʰoɴ	ʈʰʉoŋ	ʈʰɨu̯o̝ŋ˧	徹三鍾平	徹		三	鍾	平	強合法	
59	逢	符容	CDA	buong	bʋoɴ	boɴ	bʉoŋ	bɨu̯o̝ŋ˧	並三鍾平	並		三	鍾	平	強合法	
60	峯	敷容	BDA	phuong	pʰʋoɴ	pʰoɴ	pʰʉoŋ	pʰɨu̯o̝ŋ˧	滂三鍾平	滂		三	鍾	平	強合法	
61	縱	即容	NDA	tsuong	tsjoɴ	tsjoɴ	tsʉoŋ	tsɨu̯o̝ŋ˧	精三鍾平	精		三	鍾	平	強合法	
62	茸	而容	cDA	njuong	ɲoɴ	ɲoɴ	ɲʉoŋ	ȵɨu̯o̝ŋ˧	日三鍾平	日		三	鍾	平	強合法	
63	蛩	渠容	fDA	guong	ɡɣoɴ	ɡoɴ	ɡʉoŋ	ɡɨu̯o̝ŋ˧	羣三鍾平	羣		三	鍾	平	強合法	
64	鱅	蜀庸	ZDA	djuong	dʑoɴ	dʑoɴ	dʑʉoŋ	dʑɨu̯o̝ŋ˧	常三鍾平	常		三	鍾	平	強合法	
65	恭	九容	dDA	kuong	kɣoɴ	koɴ	kʉoŋ	kɨu̯o̝ŋ˧	見三鍾平	見		三	鍾	平	強合法	
66	蜙	息恭	QDA	suong	sjoɴ	sjoɴ	sʉoŋ	sɨu̯o̝ŋ˧	心三鍾平	心		三	鍾	平	強合法	
67	樅	七恭	ODA	tshuong	tsʰjoɴ	tsʰjoɴ	tsʰʉoŋ	tsʰɨu̯o̝ŋ˧	清三鍾平	清		三	鍾	平	強合法	
68	銎	曲恭	eDA	khuong	kʰɣoɴ	kʰoɴ	kʰʉoŋ	kʰɨu̯o̝ŋ˧	溪三鍾平	溪		三	鍾	平	強合法	
69	江	古雙	dEA	koeung	qoˤɴ	qoˤɴ	kɔŋ	kɣɔŋ˧	見二江平	見		二	江	平	強合法	
70	厖	莫江	DEA	moeung	moˤɴ	ᵯoˤɴ	mɔŋ	mɣɔŋ˧	明二江平	明		二	江	平	強合法	
71	𦗳	女江	MEA	nroeung	ɳoˤɴ	ɳoˤɴ	ɳɔŋ	ɳɣɔŋ˧	孃二江平	孃		二	江	平	強合法	
72	囪	楚江	TEA	tsrhoeung	tʂʰoˤɴ	tʂʰoˤɴ	tʂʰɔŋ	tʂʰɣɔŋ˧	初二江平	初		二	江	平	強合法	
73	邦	博江	AEA	poeung	poˤɴ	ᵱoˤɴ	pɔŋ	pɣɔŋ˧	幫二江平	幫		二	江	平	強合法	
74	栙	下江	jEA	ghoeung	ʁoˤɴ	ʁoˤɴ	ɣɔŋ	ɦɣɔŋ˧	匣二江平	匣		二	江	平	強合法	
75	胮	匹江	BEA	phoeung	pʰoˤɴ	ᵱʰoˤɴ	pʰɔŋ	pʰɣɔŋ˧	滂二江平	滂		二	江	平	強合法	
76	瀧	呂江	IEA	loeung	ɫoˤɴ	ɫoˤɴ	lɔŋ	lɣɔŋ˧	來二江平	來		二	江	平	弱非法	
77	雙	所江	VEA	sroeung	ʂoˤɴ	ʂoˤɴ	ʂɔŋ	ʂɣɔŋ˧	生二江平	生		二	江	平	強合法	
78	龐	薄江	CEA	boeung	boˤɴ	ᵬoˤɴ	bɔŋ	bɣɔŋ˧	並二江平	並		二	江	平	強合法	
79	肛	許江	iEA	hoeung	χoˤɴ	χoˤɴ	xɔŋ	hɣɔŋ˧	曉二江平	曉		二	江	平	強合法	
80	胦	握江	hEA	qoeung	ʔoˤɴ	ʡoˤɴ	ʔɔŋ	ʔɣɔŋ˧	影二江平	影		二	江	平	強合法	
81	腔	苦江	eEA	khoeung	qʰoˤɴ	qʰoˤɴ	kʰɔŋ	kʰɣɔŋ˧	溪二江平	溪		二	江	平	強合法	
82	幢	宅江	LEA	droeung	ɖoˤɴ	ɖoˤɴ	ɖɔŋ	ɖɣɔŋ˧	澄二江平	澄		二	江	平	強合法	
83	憃	丑江	KEA	trhoeung	ʈʰoˤɴ	ʈʰoˤɴ	ʈʰɔŋ	ʈʰɣɔŋ˧	徹二江平	徹		二	江	平	強合法	
84	樁	都江	JEA	troeung	ʈoˤɴ	ʈoˤɴ	ʈɔŋ	ʈɣɔŋ˧	知二江平	知		二	江	平	強合法	
85	㟅	五江	gEA	ngoeung	ɴoˤɴ	ɴoˤɴ	ŋɔŋ	ŋɣɔŋ˧	疑二江平	疑		二	江	平	強合法	
86	淙	士江	UEA	dzroeung	dʐoˤɴ	dʐoˤɴ	dʐɔŋ	dʐɣɔŋ˧	崇二江平	崇		二	江	平	強合法	
87	支	章移	XFA	tjie	tɕie	tɕie	tɕie	tɕiᴇ˧	章開三支平	章	開	三	支	平	強合法	
88	移	弋支	lFA	jie	jie	jie	jie	jiᴇ˧	以開三支平	以	開	三	支	平	強合法	
89	爲	薳支	kFI	ue	wɹie	wɹie	ʉe	ɦʷiᴇ˧	云合三B支平	云	合	三B	支	平	強合法	
90	嬀	居爲	dFM	kue	kɹwie	kɹwie	kʉe	kʷɣiᴇ˧	見合三B支平	見	合	三B	支	平	強合法	
91	𪎮	許爲	iFM	hue	xɹwie	xɹwie	xʉe	hʷɣiᴇ˧	曉合三B支平	曉	合	三B	支	平	強合法	
92	逶	於爲	hFM	que	ʔɹwie	ʔɹwie	ʔʉe	ʔʷɣiᴇ˧	影合三B支平	影	合	三B	支	平	強合法	
