原書小韻號,小韻字號,字,poem_小韻內字序,poem_字,sbgy_id,sbgy_字,ytenx_小韻內字序,ytenx_流水序,ytenx_字
1,1,東,1,東,w107b0601,東,1,1,東
1,2,菄,2,菄,w107b1001,菄,2,2,菄
1,3,鶇,3,鶇,w107b1002,鶇,3,3,鶇
1,4,䍶,4,䍶,w107b1003,䍶,4,4,䍶
1,5,𠍀,5,𠍀,w108a0101,𠍀,5,5,𠍀
1,6,倲,6,倲,w108a0102,倲,6,6,倲
1,7,𩜍,7,𩜍,w108a0103,𩜍,7,7,𩜍
1,8,𢘐,8,𢘐,w108a0201,𢘐,8,8,𢘐
1,9,涷,9,涷,w108a0202,涷,9,9,涷
1,10,蝀,10,蝀,w108a0203,蝀,10,10,蝀
1,11,凍,11,凍,w108a0204,凍,11,11,凍
1,12,鯟,12,鯟,w108a0301,鯟,12,12,鯟
1,13,𢔅,13,𢔅,w108a0302,𢔅,13,13,𢔅
1,14,崠,14,崠,w108a0303,崠,14,14,崠
1,15,埬,15,埬,w108a0304,埬,15,15,埬
1,16,𧓕,16,𧓕,w108a0305,𧓕,16,16,𧓕
1,17,䰤,17,䰤,w108a0401,䰤,17,17,䰤
2,1,同,1,同,w108a0402,同,1,18,同
2,2,仝,2,仝,w108a0501,仝,2,19,仝
2,3,童,3,童,w108a0502,童,3,20,童
2,4,僮,4,僮,w108a0601,僮,4,21,僮
2,5,銅,5,銅,w108a0602,銅,5,22,銅
2,6,桐,6,桐,w108a0701,桐,6,23,桐
2,7,峒,7,峒,w108a0702,峒,7,24,峒
2,8,硐,8,硐,w108a0703,硐,8,25,硐
2,9,𦨴,9,𦨴,w108a0704,𦨴,9,26,𦨴
2,10,𧱁,10,𧱁,w108a0705,𧱁,10,27,𧱁
2,11,筒,11,筒,w108a0801,筒,11,28,筒
2,12,瞳,12,瞳,w108a0802,瞳,12,29,瞳
2,13,㼧,13,㼧,w108a0803,㼧,13,30,㼧
2,14,𤭁,14,𤭁,w108a0804,𤭁,14,31,𤭁
2,15,罿,15,罿,w108a0805,罿,15,32,罿
2,16,犝,16,犝,w108a0806,犝,16,33,犝
2,17,筩,17,筩,w108a0901,筩,17,34,筩
2,18,潼,18,潼,w108a0902,潼,18,35,潼
2,19,曈,19,曈,w108a0903,曈,19,36,曈
2,20,洞,20,洞,w108a0904,洞,20,37,洞
2,21,侗,21,侗,w108a1001,侗,21,38,侗
2,22,橦,22,橦,w108a1002,橦,22,39,橦
2,23,烔,23,烔,w108a1003,烔,23,40,烔
2,24,䴀,24,䴀,w108a1004,䴀,24,41,䴀
2,25,挏,25,挏,w108b0101,挏,25,42,挏
2,26,酮,26,酮,w108b0102,酮,26,43,酮
2,27,鮦,27,鮦,w108b0103,鮦,27,44,鮦
2,28,㼿,28,㼿,w108b0201,㼿,28,45,㼿
2,29,𦏆,29,𦏆,w108b0202,𦏆,29,46,𦏆
2,30,𦍻,30,𦍻,w108b0203,𦍻,30,47,𦍻
2,31,眮,31,眮,w108b0204,眮,31,48,眮
2,32,蕫,32,蕫,w108b0205,蕫,32,49,蕫
2,33,穜,33,穜,w108b0206,穜,33,50,穜
2,34,衕,34,衕,w108b0301,衕,34,51,衕
2,35,𩍅,35,𩍅,w108b0302,𩍅,35,52,𩍅
2,36,𢈉,36,𢈉,w108b0303,𢈉,36,53,𢈉
2,37,䆚,37,䆚,w108b0304,䆚,37,54,䆚
2,38,哃,38,哃,w108b0305,哃,38,55,哃
