小韻號,首字,音韻地位,反切,直音,細分轄字
1,東,端一東平,德紅,,
2,同,定一東平,徒紅,,
3,中,知三東平,陟弓,,
4,蟲,澄三東平,直弓,,
5,終,章三東平,職戎,,
6,忡,徹三東平,敕中,,
7,崇,崇三東平,鋤（鉏）弓,,
8,嵩,心三東平,息弓,,
9,戎,日三東平,如融,,
10,弓,見三C東平,居戎,,
11,融,以三東平,以戎,,
12,雄,云三C東平,羽弓,,
13,瞢,明三C東平,莫中,,
14,穹,溪三C東平,去宮,,
15,窮,羣三C東平,渠弓,,
16,馮,並三C東平,房戎,,
17,風,幫三C東平,方戎,,
18,豐,滂三C東平,敷空,,
19,充,昌三東平,昌終,,
20,隆,來三東平,力中,,
21,空,溪一東平,苦紅,,
22,公,見一東平,古紅,,
23,蒙,明一東平,莫紅,,
24,籠,來一東平,盧紅,,
25,洪,匣一東平,戶公,,
26,叢,從一東平,徂紅,,
27,翁,影一東平,烏紅,,
28,悤,清一東平,倉紅,,
29,通,透一東平,他紅,,
30,葼,精一東平,子紅,,
31,蓬,並一東平,薄紅,,
32,烘,曉一東平,呼東,,
33,㟅,疑一東平,五東,,
34,𣞷,心一東平,蘇公,,
35,冬,端一冬平,都宗,,
36,彤,定一冬平,徒冬,,
37,賨,從一冬平,藏宗,,
38,農,泥一冬平,奴冬,,
39,攻,見一冬平,古冬,,
40,䃔,匣一冬平,戶冬,,
41,䃧,來一冬平,力冬,,
42,宗,精一冬平,作冬,,
43,鬆,心一冬平,私宗,,
44,炵,透一冬平,他冬,,
45,鍾,章三鍾平,職容,,
46,龍,來三鍾平,力鍾,,
47,舂,書三鍾平,書容,,
48,松,邪三鍾平,祥容,,
49,𧘂,昌三鍾平,尺容,,
50,容,以三鍾平,餘封,,
51,封,幫三C鍾平,府容,,
52,胷,曉三C鍾平,許容,,
53,顒,疑三C鍾平,魚容,,
54,邕,影三C鍾平,於容,,
55,醲,孃三鍾平,女容,,
56,重,澄三鍾平,直容,,
57,從,從三鍾平,疾容,,
58,蹱,徹三鍾平,丑凶,,
59,逢,並三C鍾平,符容,,
60,峯,滂三C鍾平,敷容,,
61,縱,精三鍾平,即容,,
62,茸,日三鍾平,而容,,
63,蛩,羣三C鍾平,渠容,,
64,鱅,常三鍾平,蜀庸,,
65,恭,見三C鍾平,九容,,
66,蜙,心三鍾平,息恭,,
67,樅,清三鍾平,七恭,,
68,銎,溪三C鍾平,曲恭,,
69,江,見二江平,古雙,,
70,厖,明二江平,莫江,,
71,𦗳,孃二江平,女江,,
72,囪,初二江平,楚江,,
73,邦,幫二江平,博江,,
74,栙,匣二江平,下江,,
75,胮,滂二江平,匹江,,
76,瀧,來二江平,呂江,,
77,雙,生二江平,所江,,
78,龐,並二江平,薄江,,
79,肛,曉二江平,許江,,
80,胦,影二江平,握江,,
81,腔,溪二江平,苦江,,
82,幢,澄二江平,宅江,,
83,憃,徹二江平,丑江,,
84,樁,知二江平,都江,,
85,㟅,疑二江平,五江,,
86,淙,崇二江平,士江,,
87,支,章開三支平,章移,,
88,移,以開三支平,弋支,,
89,爲,云合三B支平,薳支,,
90,嬀,見合三B支平,居爲,,
91,𪎮,曉合三B支平,許爲,,
92,逶,影合三B支平,於爲,,
93,糜,明三B支平,靡爲,,
94,隓,曉合三A支平,許規,,
95,鬌,澄合三支平,直垂,,
96,𡍮,常合三支平,是爲,,
97,羸,來合三支平,力爲,,
98,吹,昌合三支平,昌垂,,
99,鈹,滂三B支平,敷羈,,
100,陂,幫三B支平,彼爲,,
101,隨,邪合三支平,旬爲,,
102,虧,溪合三B支平,去爲,,
103,闚,溪合三A支平,去隨,,
104,奇,羣開三B支平,渠羈,,
105,祇,羣開三A支平,巨支,,
106,犧,曉開三B支平,許羈,,
107,㩻,溪開三B支平,去奇,,
108,宜,疑開三B支平,魚羈,,
109,皮,並三B支平,符羈,,
110,提,常開三支平,是支,,
111,兒,日開三支平,汝移,,
112,離,來開三支平,呂支,,
113,疵,從開三支平,疾移,,
114,貲,精開三支平,即移,,
115,羈,見開三B支平,居宜,,
116,卑,幫三A支平,府移,,
117,陴,並三A支平,符支,,
118,䌳,書開三支平,式支,,
119,斯,心開三支平,息移,,
120,差,初開三支平,楚宜,,
121,摛,徹開三支平,丑知,,
122,彌,明三A支平,武移,,
123,雌,清開三支平,此移,,
124,知,知開三支平,陟離,,
125,漪,影開三B支平,於離,,
126,馳,澄開三支平,直離,,
127,眭,心合三支平,息爲,,
128,危,疑合三B支平,魚爲,,
129,詑,曉開三A支平,香支,,
130,釃,生開三支平,所宜,,
131,䪎,生合三支平,山垂,,
132,痿,日合三支平,人垂,,
133,厜,精合三支平,姊宜〘規〙,,
134,𩓸,見合三A支平,居隋,,
135,劑,精合三支平,遵爲,,
136,衰,初合三支平,楚危,,
137,腄,知合三支平,竹垂,,
138,䮔,章合三支平,子｟？｠〈之〉垂,,
139,眵,昌開三支平,叱支,,
140,齜,莊開三支平,側宜,,
141,𢻹,滂三A脂平,匹支〖之〗,,
142,䔺,以合三支平,悅吹,,
143,齹,崇開三支平,士宜,,
144,脂,章開三脂平,旨夷,,
145,姨,以開三脂平,以脂,,
