小韻號	首字	反切	音韻地位	細分轄字
1	東	德紅	端一東平	
2	同	徒紅	定一東平	
3	中	陟弓	知三東平	
4	蟲	直弓	澄三東平	
5	終	職戎	章三東平	
6	忡	敕中	徹三東平	
7	崇	鋤弓	崇三東平	
8	嵩	息弓	心三東平	
9	戎	如融	日三東平	
10	弓	居戎	見三C東平	
11	融	以戎	以三東平	
12	雄	羽弓	云三C東平	
13	瞢	莫中	明三C東平	
14	穹	去宮	溪三C東平	
15	窮	渠弓	羣三C東平	
16	馮	房戎	並三C東平	
17	風	方戎	幫三C東平	
18	豐	敷空	滂三C東平	
19	充	昌終	昌三東平	
20	隆	力中	來三東平	
21	空	苦紅	溪一東平	
22	公	古紅	見一東平	
23	蒙	莫紅	明一東平	
24	籠	盧紅	來一東平	
25	洪	戶公	匣一東平	
26	叢	徂紅	從一東平	
27	翁	烏紅	影一東平	
28	悤	倉紅	清一東平	
29	通	他紅	透一東平	
30	葼	子紅	精一東平	
31	蓬	薄紅	並一東平	
32	烘	呼東	曉一東平	
33	㟅	五東	疑一東平	
34	𣞷	蘇公	心一東平	
35	冬	都宗	端一冬平	
36	彤	徒冬	定一冬平	
37	賨	藏宗	從一冬平	
38	農	奴冬	泥一冬平	
39	攻	古冬	見一冬平	
40	䃔	戶冬	匣一冬平	
41	䃧	力冬	來一冬平	
42	宗	作冬	精一冬平	
43	鬆	私宗	心一冬平	
44	炵	他冬	透一冬平	
45	鍾	職容	章三鍾平	
46	龍	力鍾	來三鍾平	
47	舂	書容	書三鍾平	
48	松	祥容	邪三鍾平	
49	𧘂	尺容	昌三鍾平	
50	容	餘封	以三鍾平	
51	封	府容	幫三C鍾平	
52	胷	許容	曉三C鍾平	
53	顒	魚容	疑三C鍾平	
54	邕	於容	影三C鍾平	
55	醲	女容	孃三鍾平	
56	重	直容	澄三鍾平	
57	從	疾容	從三鍾平	
58	蹱	丑凶	徹三鍾平	
59	逢	符容	並三C鍾平	
