小韻號,最簡描述,字頭,反切,切韻拼音
1,端一東平,東,德紅,toung
2,定一東平,同,徒紅,doung
3,知三東平,中,陟弓,trung
4,澄三東平,蟲,直弓,drung
5,章三東平,終,職戎,tjung
6,徹三東平,忡,敕中,trhung
7,崇三東平,崇,鋤弓,dzrung
8,心三東平,嵩,息弓,sung
9,日三東平,戎,如融,njung
10,見三東平,弓,居戎,kung
11,以三東平,融,以戎,jung
12,云三東平,雄,羽弓,ung
13,明三東平,瞢,莫中,mung
14,溪三東平,穹,去宮,khung
15,羣三東平,窮,渠弓,gung
16,並三東平,馮,房戎,bung
17,幫三東平,風,方戎,pung
18,滂三東平,豐,敷空,phung
19,昌三東平,充,昌終,tjhung
20,來三東平,隆,力中,lung
21,溪一東平,空,苦紅,khoung
22,見一東平,公,古紅,koung
23,明一東平,蒙,莫紅,moung
24,來一東平,籠,盧紅,loung
25,匣一東平,洪,戶公,ghoung
26,從一東平,叢,徂紅,dzoung
27,影一東平,翁,烏紅,qoung
28,清一東平,悤,倉紅,tshoung
29,透一東平,通,他紅,thoung
30,精一東平,葼,子紅,tsoung
31,並一東平,蓬,薄紅,boung
32,曉一東平,烘,呼東,houng
33,疑一東平,㟅,五東,ngoung
34,心一東平,𣞷,蘇公,soung
35,端冬平,冬,都宗,tong
36,定冬平,彤,徒冬,dong
37,從冬平,賨,藏宗,dzong
38,泥冬平,農,奴冬,nong
39,見冬平,攻,古冬,kong
40,匣冬平,䃔,戶冬,ghong
41,來冬平,䃧,力冬,long
42,精冬平,宗,作冬,tsong
43,心冬平,鬆,私宗,song
44,透冬平,炵,他冬,thong
45,章鍾平,鍾,職容,tjuong
46,來鍾平,龍,力鍾,luong
47,書鍾平,舂,書容,sjuong
48,邪鍾平,松,祥容,zuong
49,昌鍾平,𧘂,尺容,tjhuong
50,以鍾平,容,餘封,juong
51,幫鍾平,封,府容,puong
52,曉鍾平,胷,許容,huong
53,疑鍾平,顒,魚容,nguong
54,影鍾平,邕,於容,quong
55,孃鍾平,醲,女容,nruong
56,澄鍾平,重,直容,druong
57,從鍾平,從,疾容,dzuong
58,徹鍾平,蹱,丑凶,trhuong
59,並鍾平,逢,符容,buong
60,滂鍾平,峯,敷容,phuong
61,精鍾平,縱,即容,tsuong
62,日鍾平,茸,而容,njuong
63,羣鍾平,蛩,渠容,guong
64,常鍾平,鱅,蜀庸,djuong
65,見鍾平,恭,九容,kuong
66,心鍾平,蜙,息恭,suong
67,清鍾平,樅,七恭,tshuong
68,溪鍾平,銎,曲恭,khuong
69,見江平,江,古雙,koeung
70,明江平,厖,莫江,moeung
71,孃江平,𦗳,女江,nroeung
72,初江平,囪,楚江,tsrhoeung
73,幫江平,邦,博江,poeung
74,匣江平,栙,下江,ghoeung
