小韻號,小韻首字,上字,下字,被切字音韻描述們,上字音韻描述們,下字音韻描述們
1,東,德,紅,端一東平,端開登入,匣一東平
2,同,徒,紅,定一東平,定模平,匣一東平
3,中,陟,弓,知三東平,知開蒸入,見三東平
4,蟲,直,弓,澄三東平,澄開蒸入,見三東平
5,終,職,戎,章三東平,章開蒸入,日三東平
6,忡,敕,中,徹三東平,徹開蒸入,知三東平
7,崇,鋤,弓,崇三東平,崇魚平,見三東平
8,嵩,息,弓,心三東平,心開蒸入,見三東平
9,戎,如,融,日三東平,日魚平,以三東平
10,弓,居,戎,見三東平,見魚平,日三東平
11,融,以,戎,以三東平,以之上,日三東平
12,雄,羽,弓,云三東平,云虞上/云虞去,見三東平
13,瞢,莫,中,明三東平,明唐入,知三東平
14,穹,去,宮,溪三東平,溪魚上/溪魚去,見三東平
15,窮,渠,弓,羣三東平,羣魚平,見三東平
16,馮,房,戎,並三東平,並陽平,日三東平
17,風,方,戎,幫三東平,幫陽平,日三東平
18,豐,敷,空,滂三東平,滂虞平,溪一東平
19,充,昌,終,昌三東平,昌開陽平,章三東平
20,隆,力,中,來三東平,來開蒸入,知三東平
21,空,苦,紅,溪一東平,溪模上,匣一東平
22,公,古,紅,見一東平,見模上,匣一東平
23,蒙,莫,紅,明一東平,明唐入,匣一東平
24,籠,盧,紅,來一東平,來模平,匣一東平
25,洪,戶,公,匣一東平,匣模上,見一東平
26,叢,徂,紅,從一東平,從模平,匣一東平
27,翁,烏,紅,影一東平,影模平,匣一東平
28,悤,倉,紅,清一東平,清開唐平,匣一東平
29,通,他,紅,透一東平,透開一歌平,匣一東平
30,葼,子,紅,精一東平,精之上,匣一東平
31,蓬,薄,紅,並一東平,並唐入,匣一東平
32,烘,呼,東,曉一東平,曉模平,端一東平
33,㟅,五,東,疑一東平,疑模上,端一東平
34,𣞷,蘇,公,心一東平,心模平,見一東平
35,冬,都,宗,端冬平,端模平,精冬平
36,彤,徒,冬,定冬平,定模平,端冬平
37,賨,藏,宗,從冬平,從開唐平/從開唐去,精冬平
38,農,奴,冬,泥冬平,泥模平,端冬平
39,攻,古,冬,見冬平,見模上,端冬平
40,䃔,戶,冬,匣冬平,匣模上,端冬平
41,䃧,力,冬,來冬平,來開蒸入,端冬平
42,宗,作,冬,精冬平,精模去/精開一歌去/精開唐入,端冬平
43,鬆,私,宗,心冬平,心開脂平,精冬平
44,炵,他,冬,透冬平,透開一歌平,端冬平
45,鍾,職,容,章鍾平,章開蒸入,以鍾平
46,龍,力,鍾,來鍾平,來開蒸入,章鍾平
47,舂,書,容,書鍾平,書魚平,以鍾平
48,松,祥,容,邪鍾平,邪開陽平,以鍾平
49,𧘂,尺,容,昌鍾平,昌開清入,以鍾平
50,容,餘,封,以鍾平,以魚平,幫鍾平
51,封,府,容,幫鍾平,幫虞上,以鍾平
52,胷,許,容,曉鍾平,曉魚上,以鍾平
53,顒,魚,容,疑鍾平,疑魚平,以鍾平
54,邕,於,容,影鍾平,影魚平,以鍾平
55,醲,女,容,孃鍾平,孃魚上,以鍾平
56,重,直,容,澄鍾平,澄開蒸入,以鍾平
57,從,疾,容,從鍾平,從開眞入,以鍾平
58,蹱,丑,凶,徹鍾平,徹尤上,曉鍾平
59,逢,符,容,並鍾平,並虞平,以鍾平
60,峯,敷,容,滂鍾平,滂虞平,以鍾平
61,縱,即,容,精鍾平,精開蒸入,以鍾平
62,茸,而,容,日鍾平,日之平,以鍾平
63,蛩,渠,容,羣鍾平,羣魚平,以鍾平
64,鱅,蜀,庸,常鍾平,常鍾入,以鍾平
65,恭,九,容,見鍾平,見尤上,以鍾平
66,蜙,息,恭,心鍾平,心開蒸入,見鍾平
67,樅,七,恭,清鍾平,清開眞入,見鍾平
68,銎,曲,恭,溪鍾平,溪鍾入,見鍾平
69,江,古,雙,見江平,見模上,生江平
70,厖,莫,江,明江平,明唐入,見江平
71,𦗳,女,江,孃江平,孃魚上,見江平
72,囪,楚,江,初江平,初魚上,見江平
73,邦,博,江,幫江平,幫唐入,見江平
74,栙,下,江,匣江平,匣開二麻上/匣開二麻去,見江平
75,胮,匹,江,滂江平,滂A眞入,見江平
76,瀧,呂,江,來江平,來魚上,見江平
77,雙,所,江,生江平,生魚上,見江平
78,龐,薄,江,並江平,並唐入,見江平
79,肛,許,江,曉江平,曉魚上,見江平
80,胦,握,江,影江平,影江入,見江平
81,腔,苦,江,溪江平,溪模上,見江平
82,幢,宅,江,澄江平,澄開二庚入,見江平
