小韻號,鈴木字頭ID（小數表示新增）,鈴木小韻號（小數表示新增）,蔡、夏小韻號,頁號,行號,字號（小數表示增補）,韻目原貌,折合平聲韻目,折合平聲韻目號（小數表示四個去聲韻目）,首字,上字,下字,被切字聲母,被切字呼,被切字等,被切字重紐,被切字韻,被切字聲調,上字聲母,上字呼,上字等,上字重紐,上字韻,上字聲調,下字聲母,下字呼,下字等,下字重紐,下字韻,下字聲調,被切字切語相關地位不一致,被切字類（蒸韻銳音一律算C類）,上字類,下字類,音節合法性（強合法則留空）,切韻拼音,unt切韻擬音L,unt切韻通俗擬音,首字原貌（×表示訛誤，無×表示異體）,上字原貌（×表示訛誤，無×表示異體）,下字原貌（×表示訛誤，無×表示異體）,原非獨立小韻所屬小韻,廣韻對應小韻號（小數表示拆分）,廣韻首字（校正後）,廣韻上字,廣韻下字,首字比較,上字比較,下字比較,廣韻地位不同者,李榮《切韵音系》附註（行內夾註用{ }表示）,李榮表與本表不同者（表內未收小韻暫未標註）,備註
1,3,10101,1,2,11,1,東,東,1,東,德,紅,端,,一,,東,平,端,開,一,,登,入,匣,,一,,東,平,,一,一,一,,toung,tuɴ,tuŋ,,徳,,,1,東,德,紅,同,同,同,,,,
2,42,10102,2,2,11,3,東,東,1,同,徒,紅,定,,一,,東,平,定,,一,,模,平,匣,,一,,東,平,,一,一,一,,doung,duɴ,duŋ,,,,,2,同,徒,紅,同,同,同,,,,
3,146,10103,3,2,13,1,東,東,1,中,陟,隆,知,,三,,東,平,知,開,三,,蒸,入,來,,三,,東,平,,C知來,C知來,C知來,,trung,ʈuɴ,ʈɨuŋ,,,,,3,中,陟,弓,同,同,異,,,,
4,163,10104,4,2,13,5,東,東,1,蟲,直,隆,澄,,三,,東,平,澄,開,三,,蒸,入,來,,三,,東,平,,C知來,C知來,C知來,,drung,ɖuɴ,ɖɨuŋ,,,,,4,蟲,直,弓,同,同,異,,,,
5,192,10105,5,2,13,10,東,東,1,終,職,隆,章,,三,,東,平,章,開,三,,蒸,入,來,,三,,東,平,,C精章,C精章,C知來,,tjung,tɕuɴ,tɕɨuŋ,,,,,5,終,職,戎,同,同,異,,,,
6,243,10106,6,2,14,9,東,東,1,忡,勅,中,徹,,三,,東,平,徹,開,三,,蒸,入,知,,三,,東,平,,C知來,C知來,C知來,,trhung,ʈʰuɴ,ʈʰɨuŋ,,𠡠,,,6,忡,敕,中,同,同(異體),同,,,,
7,252,10107,7,2,14,11,東,東,1,崇,鋤,隆,崇,,三,,東,平,崇,開,三,,魚,平,來,,三,,東,平,,C莊,C莊,C知來,,dzrung,dʐuɴ,dʐɨuŋ,,,,,7,崇,鋤,弓,同,同,異,,,,
8,262,10108,8,2,15,1,東,東,1,嵩,息,隆,心,,三,,東,平,心,開,三,,蒸,入,來,,三,,東,平,,C精章,C精章,C知來,,sung,sjuɴ,sɨuŋ,,,,,8,嵩,息,弓,同,同,異,,,,
9,281,10109,9,2,15,4,東,東,1,戎,如,隆,日,,三,,東,平,日,開,三,,魚,平,來,,三,,東,平,,C精章,C精章,C知來,,njung,ɲuɴ,ɲɨuŋ,,,,,9,戎,如,融,同,同,異,,,,
10,297,10110,10,2,15,8,東,東,1,弓,居,隆,見,,三,,東,平,見,開,三,,魚,平,來,,三,,東,平,,C鈍,C鈍,C知來,,kung,kuɴ,kɨuŋ,,,,,10,弓,居,戎,同,同,異,,,,
