音韻編碼,字頭,釋義
EAA,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
EAA,菄,東風菜義見上注俗加艹
EAA,鶇,鶇鵍鳥名美形出廣雅亦作𪂝
EAA,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
EAA,𠍀,儱𠍀儜劣皃出字諟
EAA,倲,儱𠍀儜劣皃出字諟
EAA,𩜍,地理志云東郡館名
EAA,𢘐,古文見道經
EAA,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切
EAA,蝀,螮蝀虹也又音董
EAA,凍,凍凌又都貢切
EAA,鯟,魚名似鯉
EAA,𢔅,行皃
EAA,崠,崠如山名
EAA,埬,上埬地名
EAA,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
EAA,䰤,醜皃
GAA,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
GAA,仝,古文出道書
GAA,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
GAA,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
GAA,銅,金之一品
GAA,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷
GAA,峒,崆峒山名
GAA,硐,磨也
GAA,𦨴,𦨴船
GAA,𧱁,獸似豕出泰山
GAA,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒
GAA,瞳,目瞳
GAA,㼧,㼧瓦
GAA,𤭁,㼧瓦
GAA,罿,車上網又音衝
GAA,犝,犝牛無角
GAA,筩,竹筩
GAA,潼,水名出廣漢郡亦關名又通衝二音
GAA,曈,曈曨日欲明也又他孔切
GAA,洞,洪洞縣名在晉州北又徒弄切
GAA,侗,楊子法言云倥侗顓蒙
GAA,橦,木名花可爲布出字書又鍾幢二音
GAA,烔,熱氣烔烔出字林
GAA,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記
GAA,挏,引也漢官名有挏馬又音動
GAA,酮,馬酪又音動
GAA,鮦,爾雅云鰹大鮦又直冢直柳二切
GAA,㼿,井甓一云甃也
GAA,𦏆,無角羊
GAA,𦍻,無角羊
GAA,眮,目眶又徒摠切
GAA,蕫,草名又多動切
GAA,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重
GAA,衕,通街也
GAA,𩍅,靫具飾也
GAA,𢈉,地下應聲
GAA,䆚,通䆚也
GAA,哃,哃𠹔大言
GAA,𢏕,弓飾
GAA,絧,布名
GAA,𨚯,鄉名
GAA,𨝯,地名又姓
GAA,𪔜,鼓聲
GAA,𩦶,黑虎
GAA,𪒿,黑皃
JAQ,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
JAQ,衷,善也正也適也中也又衷衣褻衣也
JAQ,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
JAQ,𦬕,草名又音沖
LAQ,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七
LAQ,沖,和也深也
LAQ,种,稚也或作沖亦姓後漢司徒河南种暠
LAQ,盅,器虛也又敕中切
LAQ,爞,爾雅云爞爞炎炎熏也
LAQ,𦬕,草名又音中
LAQ,翀,直上飛也
XAQ,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
XAQ,眾,又之仲切
XAQ,潀,小水入大水又徂紅在冬二切
XAQ,𣧩,歿也
XAQ,螽,螽斯蟲也
XAQ,𧑄,螽斯蟲也
XAQ,鼨,豹文鼠也
XAQ,蔠,蔠葵蘩露也
XAQ,柊,木名又齊人謂椎爲柊楑也
XAQ,𩅧,小雨
XAQ,䶱,字書云龜名也
XAQ,鴤,鳥名
XAQ,䈺,篋䈺戎人呼之
XAQ,泈,水名在襄陽
XAQ,䝦,獸如豹
KAQ,忡,憂也敕中切三
KAQ,浺,浺瀜水平遠之皃又音蟲
KAQ,盅,器虛也又音蟲
UAQ,崇,高也敬也就也聚也又姓鋤弓切四
UAQ,崈,高也敬也就也聚也又姓鋤弓切四
UAQ,㓽,鍤屬
UAQ,𩞉,饞𩞉貪食也出古今字音
QAQ,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
QAQ,崧,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
QAQ,𪀚,似鷹而小能捕雀也
QAQ,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契
QAQ,菘,菜名
QAQ,硹,地名在遼
QAQ,㣝,姓也
QAQ,𧊕,蟲名
QAQ,䯷,細毛
cAQ,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
cAQ,𢦦,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
cAQ,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
cAQ,㭜,木名
cAQ,駥,馬八尺也
cAQ,𥬪,小竹可爲矢
cAQ,𠈋,𠈋人身有三角也
cAQ,狨,細布
cAQ,絨,細布
dAQ,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六
dAQ,躳,身也親也又姓出姓苑
dAQ,躬,身也親也又姓出姓苑
dAQ,㴦,縣名在酒泉
dAQ,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇
dAQ,匑,謹敬之皃又音穹
lAQ,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四
lAQ,肜,祭名又敕林切
lAQ,瀜,沖瀜大水皃
kAQ,雄,雄雌也亦姓舜友有雄陶羽弓切二
kAQ,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比
DAQ,瞢,目不明莫中切六
DAQ,夢,說文曰不明也又武仲切
DAQ,鄸,邑名在曹郡
DAQ,懜,慙也國語云君使臣懜
DAQ,𦫰,𦫰𦫰醜皃
DAQ,𧲎,獸似豕目在耳出崐崘
eAQ,穹,高也去宮切七
eAQ,𢞏,憂也
eAQ,焪,乾也
