小韻號,母,呼,等,重紐,韻,聲,反切
1,端,開,一,,東,平,德紅
2,定,開,一,,東,平,徒紅
3,知,開,三,,東,平,陟弓
4,澄,開,三,,東,平,直弓
5,章,開,三,,東,平,職戎
6,徹,開,三,,東,平,敕中
7,崇,開,三,,東,平,鋤弓
8,心,開,三,,東,平,息弓
9,日,開,三,,東,平,如融
10,見,開,三,,東,平,居戎
11,以,開,三,,東,平,以戎
12,云,開,三,,東,平,羽弓
13,明,,三,,東,平,莫中
14,溪,開,三,,東,平,去宮
15,羣,開,三,,東,平,渠弓
16,並,,三,,東,平,房戎
17,幫,,三,,東,平,方戎
18,滂,,三,,東,平,敷空
19,昌,開,三,,東,平,昌終
20,來,開,三,,東,平,力中
21,溪,開,一,,東,平,苦紅
22,見,開,一,,東,平,古紅
23,明,,一,,東,平,莫紅
24,來,開,一,,東,平,盧紅
25,匣,開,一,,東,平,戶公
26,從,開,一,,東,平,徂紅
27,影,開,一,,東,平,烏紅
28,清,開,一,,東,平,倉紅
29,透,開,一,,東,平,他紅
30,精,開,一,,東,平,子紅
31,並,,一,,東,平,薄紅
32,曉,開,一,,東,平,呼東
33,疑,開,一,,東,平,五東
34,心,開,一,,東,平,蘇公
35,端,合,一,,冬,平,都宗
36,定,合,一,,冬,平,徒冬
37,從,合,一,,冬,平,藏宗
38,泥,合,一,,冬,平,奴冬
39,見,合,一,,冬,平,古冬
40,匣,合,一,,冬,平,戶冬
41,來,合,一,,冬,平,力冬
42,精,合,一,,冬,平,作冬
43,心,合,一,,冬,平,私宗
44,透,合,一,,冬,平,他冬
45,章,開,三,,鍾,平,職容
46,來,開,三,,鍾,平,力鍾
47,書,開,三,,鍾,平,書容
48,邪,開,三,,鍾,平,祥容
49,昌,開,三,,鍾,平,尺容
50,以,開,三,,鍾,平,餘封
51,幫,,三,,鍾,平,府容
52,曉,開,三,,鍾,平,許容
53,疑,開,三,,鍾,平,魚容
54,影,開,三,,鍾,平,於容
55,孃,開,三,,鍾,平,女容
56,澄,開,三,,鍾,平,直容
57,從,開,三,,鍾,平,疾容
58,徹,開,三,,鍾,平,丑凶
59,並,,三,,鍾,平,符容
60,滂,,三,,鍾,平,敷容
61,精,開,三,,鍾,平,即容
62,日,開,三,,鍾,平,而容
63,羣,開,三,,鍾,平,渠容
64,常,開,三,,鍾,平,蜀庸
65,見,開,三,,鍾,平,九容
66,心,開,三,,鍾,平,息恭
67,清,開,三,,鍾,平,七恭
68,溪,開,三,,鍾,平,曲恭
69,見,開,二,,江,平,古雙
70,明,,二,,江,平,莫江
71,孃,開,二,,江,平,女江
72,初,開,二,,江,平,楚江
73,幫,,二,,江,平,博江
74,匣,開,二,,江,平,下江
75,滂,,二,,江,平,匹江
76,來,開,二,,江,平,呂江
77,生,開,二,,江,平,所江
78,並,,二,,江,平,薄江
79,曉,開,二,,江,平,許江
80,影,開,二,,江,平,握江
81,溪,開,二,,江,平,苦江
82,澄,開,二,,江,平,宅江
83,徹,開,二,,江,平,丑江
84,知,開,二,,江,平,都江
85,疑,開,二,,江,平,五江
86,崇,開,二,,江,平,士江
87,章,開,三,,支,平,章移
88,以,開,三,A,支,平,弋支
89,云,合,三,B,支,平,薳支
90,見,合,三,B,支,平,居爲
91,曉,合,三,B,支,平,許爲
92,影,合,三,B,支,平,於爲
93,明,,三,B,支,平,靡爲
94,曉,合,三,A,支,平,許規
95,澄,合,三,,支,平,直垂
96,常,合,三,,支,平,是爲
97,來,合,三,,支,平,力爲
98,昌,合,三,,支,平,昌垂
99,滂,,三,B,支,平,敷羈
100,幫,,三,B,支,平,彼爲
101,邪,合,三,,支,平,旬爲
102,溪,合,三,B,支,平,去爲
103,溪,合,三,A,支,平,去隨
104,羣,開,三,B,支,平,渠羈
105,羣,開,三,A,支,平,巨支
106,曉,開,三,B,支,平,許羈
107,溪,開,三,B,支,平,去奇
108,疑,開,三,B,支,平,魚羈
109,並,,三,B,支,平,符羈
110,常,開,三,,支,平,是支
111,日,開,三,,支,平,汝移
112,來,開,三,,支,平,呂支
113,從,開,三,,支,平,疾移
114,精,開,三,,支,平,即移
115,見,開,三,B,支,平,居宜
116,幫,,三,A,支,平,府移
117,並,,三,A,支,平,符支
118,書,開,三,,支,平,式支
119,心,開,三,,支,平,息移
120,初,開,三,,支,平,楚宜
121,徹,開,三,,支,平,丑知
122,明,,三,A,支,平,武移
123,清,開,三,,支,平,此移
124,知,開,三,,支,平,陟離
125,影,開,三,B,支,平,於離
126,澄,開,三,,支,平,直離
127,心,合,三,,支,平,息爲
128,疑,合,三,B,支,平,魚爲
129,曉,開,三,A,支,平,香支
130,生,開,三,,支,平,所宜
131,生,合,三,,支,平,山垂
132,日,合,三,,支,平,人垂
133,精,合,三,,支,平,姊規
134,見,合,三,A,支,平,居隋
135,初,合,三,,支,平,楚危
136,知,合,三,,支,平,竹垂
137,昌,開,三,,支,平,叱支
138,莊,開,三,,支,平,側宜
139,滂,,三,A,支,平,匹支
140,以,合,三,A,支,平,悅吹
141,崇,開,三,,支,平,士宜
142,章,開,三,,脂,平,旨夷
143,以,開,三,A,脂,平,以脂
144,生,開,三,,脂,平,疏夷
145,並,,三,A,脂,平,房脂
146,精,開,三,,脂,平,即夷
147,見,開,三,B,脂,平,居夷
148,昌,開,三,,脂,平,處脂
149,徹,開,三,,脂,平,丑飢
150,清,開,三,,脂,平,取私
151,從,開,三,,脂,平,疾資
152,孃,開,三,,脂,平,女夷
153,澄,開,三,,脂,平,直尼
154,心,開,三,,脂,平,息夷
155,書,開,三,,脂,平,式脂
156,羣,開,三,A,脂,平,渠脂
157,影,開,三,A,脂,平,於脂
158,來,開,三,,脂,平,力脂
159,羣,合,三,A,脂,平,渠追
160,知,合,三,,脂,平,陟隹
161,見,合,三,B,脂,平,居追
162,日,合,三,,脂,平,儒隹
163,生,合,三,,脂,平,所追
164,以,合,三,A,脂,平,以追
165,來,合,三,,脂,平,力追
166,心,合,三,,脂,平,息遺
167,羣,合,三,B,脂,平,渠追
168,明,,三,B,脂,平,武悲
169,幫,,三,B,脂,平,府眉
170,章,合,三,,脂,平,職追
171,常,合,三,,脂,平,視隹
172,云,合,三,B,脂,平,洧悲
173,並,,三,B,脂,平,符悲
174,滂,,三,B,脂,平,敷悲
175,曉,合,三,A,脂,平,許維
176,澄,合,三,,脂,平,直追
177,昌,合,三,,脂,平,尺隹
178,知,開,三,,脂,平,丁尼
179,滂,,三,A,脂,平,匹夷
180,精,合,三,,脂,平,醉綏
181,溪,合,三,B,脂,平,丘追
182,疑,開,三,B,脂,平,牛肌
183,曉,開,三,A,脂,平,喜夷
184,章,開,三,,之,平,止而
185,以,開,三,,之,平,與之
186,常,開,三,,之,平,市之
187,疑,開,三,,之,平,語其
188,心,開,三,,之,平,息兹
189,初,開,三,,之,平,楚持
190,羣,開,三,,之,平,渠之
191,書,開,三,,之,平,書之
192,日,開,三,,之,平,如之
193,溪,開,三,,之,平,去其
194,見,開,三,,之,平,居之
195,邪,開,三,,之,平,似兹
196,來,開,三,,之,平,里之
197,莊,開,三,,之,平,側持
198,曉,開,三,,之,平,許其
199,影,開,三,,之,平,於其
200,徹,開,三,,之,平,丑之
201,澄,開,三,,之,平,直之
202,昌,開,三,,之,平,赤之
203,從,開,三,,之,平,疾之
204,精,開,三,,之,平,子之
205,崇,開,三,,之,平,士之
206,俟,開,三,,之,平,俟甾
207,明,,三,,微,平,無非
208,曉,合,三,,微,平,許歸
209,云,合,三,,微,平,雨非
210,滂,,三,,微,平,芳非
211,幫,,三,,微,平,甫微
212,並,,三,,微,平,符非
213,影,合,三,,微,平,於非
214,羣,開,三,,微,平,渠希
215,見,開,三,,微,平,居依
216,曉,開,三,,微,平,香衣
217,影,開,三,,微,平,於希
218,疑,開,三,,微,平,魚衣
219,疑,合,三,,微,平,語韋
220,見,合,三,,微,平,舉韋
221,溪,合,三,,微,平,丘韋
222,疑,開,三,,魚,平,語居
223,初,開,三,,魚,平,楚居
224,書,開,三,,魚,平,傷魚
225,見,開,三,,魚,平,九魚
226,羣,開,三,,魚,平,強魚
227,以,開,三,,魚,平,以諸
228,心,開,三,,魚,平,相居
229,清,開,三,,魚,平,七余
230,崇,開,三,,魚,平,士魚
231,徹,開,三,,魚,平,丑居
232,生,開,三,,魚,平,所葅
233,曉,開,三,,魚,平,朽居
234,邪,開,三,,魚,平,似魚
235,影,開,三,,魚,平,央居
236,知,開,三,,魚,平,陟魚
237,來,開,三,,魚,平,力居
238,章,開,三,,魚,平,章魚
239,澄,開,三,,魚,平,直魚
240,日,開,三,,魚,平,人諸
241,精,開,三,,魚,平,子魚
242,溪,開,三,,魚,平,去魚
243,莊,開,三,,魚,平,側魚
244,常,開,三,,魚,平,署魚
245,孃,開,三,,魚,平,女余
246,疑,合,三,,虞,平,遇俱
247,初,合,三,,虞,平,測隅
248,明,,三,,虞,平,武夫
249,云,合,三,,虞,平,羽俱
250,曉,合,三,,虞,平,況于
251,羣,合,三,,虞,平,其俱
252,日,合,三,,虞,平,人朱
253,心,合,三,,虞,平,相俞
254,知,合,三,,虞,平,陟輸
255,徹,合,三,,虞,平,敕俱
256,常,合,三,,虞,平,市朱
257,以,合,三,,虞,平,羊朱
258,溪,合,三,,虞,平,豈俱
259,章,合,三,,虞,平,章俱
260,清,合,三,,虞,平,七逾
261,來,合,三,,虞,平,力朱
262,並,,三,,虞,平,防無
