字頭,轉號,上位,右位
蓬,1,1,3
蒙,1,1,4
東,1,1,5
通,1,1,6
同,1,1,7
公,1,1,9
空,1,1,10
㟅,1,1,12
葼,1,1,13
悤,1,1,14
叢,1,1,15
𣞷,1,1,16
翁,1,1,18
烘,1,1,19
洪,1,1,20
籠,1,1,22
崇,1,2,15
風,1,3,1
豐,1,3,2
馮,1,3,3
瞢,1,3,4
中,1,3,5
忡,1,3,6
蟲,1,3,7
弓,1,3,9
穹,1,3,10
窮,1,3,11
𧲤,1,3,12
終,1,3,13
充,1,3,14
雄,1,3,20
肜,1,3,21
隆,1,3,22
戎,1,3,23
嵩,1,4,16
融,1,4,21
琫,1,5,1
菶,1,5,3
蠓,1,5,4
董,1,5,5
桶,1,5,6
動,1,5,7
𨑊,1,5,8
孔,1,5,10
總,1,5,13
㪌,1,5,16
蓊,1,5,18
嗊,1,5,19
𢦅,1,5,20
䏊,1,5,22
摓,1,9,3
夢,1,9,4
凍,1,9,5
痛,1,9,6
洞,1,9,7
齈,1,9,8
貢,1,9,9
控,1,9,10
糉,1,9,13
謥,1,9,14
𣀒,1,9,15
送,1,9,16
甕,1,9,18
烘,1,9,19
閧,1,9,20
弄,1,9,22
㓽,1,10,15
諷,1,11,1
賵,1,11,2
鳳,1,11,3
𢄐,1,11,4
中,1,11,5
仲,1,11,7
焪,1,11,10
眾,1,11,13
銃,1,11,14
𧽒,1,11,19
趥,1,12,14
卜,1,13,1
扑,1,13,2
暴,1,13,3
木,1,13,4
豰,1,13,5
禿,1,13,6
獨,1,13,7
穀,1,13,9
哭,1,13,10
鏃,1,13,13
瘯,1,13,14
族,1,13,15
速,1,13,16
屋,1,13,18
熇,1,13,19
縠,1,13,20
祿,1,13,22
縬,1,14,13
珿,1,14,14
縮,1,14,16
福,1,15,1
蝮,1,15,2
伏,1,15,3
目,1,15,4
竹,1,15,5
蓄,1,15,6
逐,1,15,7
朒,1,15,8
菊,1,15,9
麴,1,15,10
驧,1,15,11
砡,1,15,12
粥,1,15,13
俶,1,15,14
叔,1,15,16
塾,1,15,17
郁,1,15,18
畜,1,15,19
囿,1,15,21
六,1,15,22
肉,1,15,23
蹙,1,16,13
鼀,1,16,14
𣤶,1,16,15
肅,1,16,16
育,1,16,21
