小韻號,鈴木ID,鈴木小韻號,頁號,行號,字號,韻目原貌,首字,反切,地位,切韻拼音,小韻內字序,字頭,釋義
1,3,10101,2,11,1,東,東,德紅反,端一東平,toung,1,東,徳紅反。木方。二。
1,4,10101,2,11,2,東,東,德紅反,端一東平,toung,2,凍,凌水。從冫，音冰。
2,42,10102,2,11,3,東,同,徒紅反,定一東平,doung,1,同,徒紅反。二十二。
2,43,10102,2,11,4,東,同,徒紅反,定一東平,doung,2,童,古作僕，今為童子，非。
2,44,10102,2,11,5,東,同,徒紅反,定一東平,doung,3,僮,古作童子，今為僕，失。
2,45,10102,2,11,6,東,同,徒紅反,定一東平,doung,4,銅,赤金。
2,46,10102,2,11,7,東,同,徒紅反,定一東平,doung,5,桐,榮木。
2,47,10102,2,11,8,東,同,徒紅反,定一東平,doung,6,峒,崆〻〈峒〉。
2,48,10102,2,11,9,東,同,徒紅反,定一東平,doung,7,𧱁,獸名，似豕，出秦山。或從豸作𧳆。
2,49,10102,2,11,10,東,同,徒紅反,定一東平,doung,8,硐,磨。
2,50,10102,2,11,11,東,同,徒紅反,定一東平,doung,9,筒,竹名。
2,51,10102,2,11,12,東,同,徒紅反,定一東平,doung,10,𦨴,舩。
2,52,10102,2,12,1,東,同,徒紅反,定一東平,doung,11,瞳,目〻〈瞳〉。
2,53,10102,2,12,2,東,同,徒紅反,定一東平,doung,12,㼧,瓦。
2,54,10102,2,12,3,東,同,徒紅反,定一東平,doung,13,罿,車上䋄。又尺容反。從网。
2,55,10102,2,12,4,東,同,徒紅反,定一東平,doung,14,潼,水名。𨶚名。又他紅、昌容二反。
2,56,10102,2,12,5,東,同,徒紅反,定一東平,doung,15,筩,竹〻〈筩〉。
2,57,10102,2,12,6,東,同,徒紅反,定一東平,doung,16,犝,牛。
2,58,10102,2,12,7,東,同,徒紅反,定一東平,doung,17,橦,木名，花可為布。又卓江反。
2,59,10102,2,12,8,東,同,徒紅反,定一東平,doung,18,曈,〻〈曈〉曨，日欲明。又他孔反。
2,60,10102,2,12,9,東,同,徒紅反,定一東平,doung,19,衕,通街。
2,61,10102,2,12,10,東,同,徒紅反,定一東平,doung,20,烔,〻〈烔〉旱氣皃。
2,62,10102,2,12,11,東,同,徒紅反,定一東平,doung,21,𩍅,被具飾。
3,146,10103,2,13,1,東,中,陟隆反,知三東平,trung,1,中,陟隆反。景正。又陟仲反。四。
3,147,10103,2,13,2,東,中,陟隆反,知三東平,trung,2,衷,裏。
3,148,10103,2,13,3,東,中,陟隆反,知三東平,trung,3,忠,讜言。
3,149,10103,2,13,4,東,中,陟隆反,知三東平,trung,4,𦬕,草。
4,163,10104,2,13,5,東,蟲,直隆反,澄三東平,drung,1,蟲,直隆反。蜫類。五。
4,164,10104,2,13,6,東,蟲,直隆反,澄三東平,drung,2,沖,和。
4,165,10104,2,13,7,東,蟲,直隆反,澄三東平,drung,3,种,稚。
4,166,10104,2,13,8,東,蟲,直隆反,澄三東平,drung,4,盅,器虚。又𠡠中反。
4,167,10104,2,13,9,東,蟲,直隆反,澄三東平,drung,5,爞,旱氣。又徒冬反。
5,192,10105,2,13,10,東,終,職隆反,章三東平,tjung,1,終,職隆反。畢。十一。
5,193,10105,2,13,11,東,終,職隆反,章三東平,tjung,2,衆,多。又之仲反。
5,194,10105,2,13,12,東,終,職隆反,章三東平,tjung,3,泈,水名，在襄陽。
5,195,10105,2,14,1,東,終,職隆反,章三東平,tjung,4,潨,小水入大水。又在冬反。
5,196,10105,2,14,2,東,終,職隆反,章三東平,tjung,5,𣧩,〻〈𣧩〉殁。
5,197,10105,2,14,3,東,終,職隆反,章三東平,tjung,6,螽,秋蟲。亦作𧑄。
5,198,10105,2,14,4,東,終,職隆反,章三東平,tjung,7,𩅉,小雨。
5,199,10105,2,14,5,東,終,職隆反,章三東平,tjung,8,鼨,豹文鼠。
5,200,10105,2,14,6,東,終,職隆反,章三東平,tjung,9,蔠,〻〈蔠〉葵，蘩露。
5,201,10105,2,14,7,東,終,職隆反,章三東平,tjung,10,柊,木名。
5,202,10105,2,14,8,東,終,職隆反,章三東平,tjung,11,䶱,龜。又徒冬反。
6,243,10106,2,14,9,東,忡,勅中反,徹三東平,trhung,1,忡,𠡠中反。忡〻〈忡〉之憂。二。
6,244,10106,2,14,10,東,忡,勅中反,徹三東平,trhung,2,盅,器虚。
7,252,10107,2,14,11,東,崇,鋤隆反,崇三東平,dzrung,1,崇,鋤隆反。敬。亦作崈。二。
7,253,10107,2,14,12,東,崇,鋤隆反,崇三東平,dzrung,2,㓽,錘屬。
8,262,10108,2,15,1,東,嵩,息隆反,心三東平,sung,1,嵩,息隆反。中嶽。亦作崧。通俗作嵩。三。
8,263,10108,2,15,2,東,嵩,息隆反,心三東平,sung,2,娀,有娀，𢍆母。
8,264,10108,2,15,3,東,嵩,息隆反,心三東平,sung,3,菘,菜【〻】。
